user_id,cant_minutos_llamada,cant_mensajes,cant_llamadas,first_name,last_name,age,city,reg_date,plan,churn_date,grupo_uso,grupo_edad
12698,19.389999999999997,8,3,Ana,Lopez,51.0,Bogotá,2024-01-09 18:17:33.263315832,Premium,,Medio uso,Adulto
12699,10.180000000000001,13,2,Luis,Lopez,74.0,GDL,2024-01-10 00:51:51.177794456,Premium,,Alto uso,Adulto Mayor
12700,22.7,1,8,Carlos,Garcia,40.0,GDL,2024-01-10 07:26:09.092273072,Basico,"1,73517E+18",Medio uso,Adulto
12701,38.24,8,3,Mateo,Gomez,65.0,GDL,2024-01-10 14:00:27.006751688,Basico,,Medio uso,Adulto Mayor
12702,19.630000000000003,5,5,Ana,Garcia,62.0,Bogotá,2024-01-10 20:34:44.921230312,Basico,,Medio uso,Adulto Mayor
12703,40.72,8,5,Luis,Torres,57.0,Medellín,2024-01-11 03:09:02.835708928,Basico,,Medio uso,Adulto
12704,10.37,9,4,Luis,Gomez,23.0,,2024-01-11 09:43:20.750187552,Basico,,Medio uso,Joven
12705,39.43,4,9,Luis,Torres,55.0,GDL,2024-01-11 16:17:38.664666168,Basico,,Medio uso,Adulto
12706,41.86,3,6,Carlos,Gomez,58.0,GDL,2024-01-11 22:51:56.579144792,Basico,,Medio uso,Adulto
12707,48.57000000000001,2,7,Mateo,Garcia,53.0,MTY,2024-01-12 05:26:14.493623408,Basico,,Medio uso,Adulto
12708,13.79,6,6,Carlos,Lopez,44.0,,2024-01-12 12:00:32.408102032,Basico,,Medio uso,Adulto
12709,34.71,9,5,Sofia,Ramirez,28.0,CDMX,2024-01-12 18:34:50.322580648,Basico,,Medio uso,Joven
12710,13.34,6,4,Luis,Lopez,22.0,Medellín,2024-01-13 01:09:08.237059272,Premium,"1,7204E+18",Medio uso,Joven
12711,132.92,8,3,Sofia,Garcia,74.0,Bogotá,2024-01-13 07:43:26.151537888,Premium,,Medio uso,Adulto Mayor
12712,4.49,7,3,Mariana,Gomez,34.0,CDMX,2024-01-13 14:17:44.066016504,Basico,,Medio uso,Adulto
12713,26.35,7,5,Ana,Lopez,69.0,MTY,2024-01-13 20:52:01.980495128,Basico,,Medio uso,Adulto Mayor
12714,20.45,7,5,Ana,Garcia,24.0,GDL,2024-01-14 03:26:19.894973744,Premium,,Medio uso,Joven
12715,8.57,5,3,Carlos,Torres,44.0,,2024-01-14 10:00:37.809452368,Basico,"1,73085E+18",Medio uso,Adulto
12716,18.55,7,6,Mateo,Ramirez,64.0,Bogotá,2024-01-14 16:34:55.723930984,Premium,,Medio uso,Adulto Mayor
12717,11.180000000000001,6,5,Sofia,Lopez,74.0,Bogotá,2024-01-14 23:09:13.638409608,Basico,,Medio uso,Adulto Mayor
12718,23.96,4,5,Mateo,Gomez,32.0,Bogotá,2024-01-15 05:43:31.552888224,Premium,,Medio uso,Adulto
12719,8.9,7,3,Carlos,Torres,63.0,Medellín,2024-01-15 12:17:49.467366848,Premium,,Medio uso,Adulto Mayor
12720,20.96,5,5,Ana,Garcia,30.0,Bogotá,2024-01-15 18:52:07.381845464,Premium,,Medio uso,Adulto
12721,46.13999999999999,9,5,Mateo,Ramirez,28.0,CDMX,2024-01-16 01:26:25.296324088,Premium,,Medio uso,Joven
12722,8.48,7,2,Mateo,Gomez,77.0,MTY,2024-01-16 08:00:43.210802704,Basico,"1,72757E+18",Medio uso,Adulto Mayor
12723,4.99,2,2,Ana,Garcia,62.0,GDL,2024-01-16 14:35:01.125281320,Basico,,Bajo uso,Adulto Mayor
12724,37.13000000000001,4,5,Sofia,Garcia,43.0,Medellín,2024-01-16 21:09:19.039759944,Basico,,Medio uso,Adulto
12725,32.0,2,6,Ana,Lopez,39.0,CDMX,2024-01-17 03:43:36.954238560,Basico,,Medio uso,Adulto
12726,27.509999999999998,8,7,Mateo,Lopez,45.0,Bogotá,2024-01-17 10:17:54.868717184,Basico,,Medio uso,Adulto
12727,19.37,3,3,Sofia,Gomez,41.0,GDL,2024-01-17 16:52:12.783195800,Basico,,Bajo uso,Adulto
12728,27.919999999999998,8,3,Sofia,Garcia,46.0,,2024-01-17 23:26:30.697674424,Premium,,Medio uso,Adulto
12729,30.54,6,5,Ana,Lopez,26.0,MTY,2024-01-18 06:00:48.612153040,Basico,,Medio uso,Joven
12730,16.880000000000003,9,3,Mateo,Ramirez,59.0,MTY,2024-01-18 12:35:06.526631664,Basico,,Medio uso,Adulto
12731,11.73,5,4,Carlos,Ramirez,21.0,,2024-01-18 19:09:24.441110280,Basico,,Medio uso,Joven
12732,38.18,5,9,Mateo,Garcia,66.0,Bogotá,2024-01-19 01:43:42.355588904,Basico,,Medio uso,Adulto Mayor
12733,32.11,4,6,Luis,Lopez,63.0,,2024-01-19 08:18:00.270067520,Basico,"1,73137E+18",Medio uso,Adulto Mayor
12734,20.32,3,3,Mariana,Gomez,73.0,CDMX,2024-01-19 14:52:18.184546144,Premium,,Bajo uso,Adulto Mayor
12735,35.980000000000004,4,6,Carlos,Gomez,35.0,MTY,2024-01-19 21:26:36.099024760,Basico,,Medio uso,Adulto
12736,87.38000000000001,7,11,Sofia,Gomez,60.0,Medellín,2024-01-20 04:00:54.013503376,Basico,,Alto uso,Adulto Mayor
12737,30.759999999999998,4,6,Carlos,Ramirez,33.0,,2024-01-20 10:35:11.927982000,Basico,,Medio uso,Adulto
12738,31.0,4,6,Sofia,Lopez,50.0,GDL,2024-01-20 17:09:29.842460616,Basico,,Medio uso,Adulto
12739,12.22,7,5,Sofia,Lopez,46.0,,2024-01-20 23:43:47.756939240,Premium,,Medio uso,Adulto
12740,1.8599999999999999,6,4,Carlos,Ramirez,56.0,Bogotá,2024-01-21 06:18:05.671417856,Basico,,Medio uso,Adulto
12741,19.97,8,2,Sofia,Gomez,77.0,Cali,2024-01-21 12:52:23.585896480,Basico,,Medio uso,Adulto Mayor
12742,32.55,3,7,Sofia,Gomez,27.0,MTY,2024-01-21 19:26:41.500375096,Basico,,Medio uso,Joven
12744,29.62,2,5,Mateo,Torres,76.0,,2024-01-22 08:35:17.329332336,Basico,,Medio uso,Adulto Mayor
12745,15.35,10,4,Mateo,Lopez,48.0,,2024-01-22 15:09:35.243810960,Premium,,Alto uso,Adulto
12746,34.760000000000005,5,8,Mariana,Lopez,45.0,Bogotá,2024-01-22 21:43:53.158289576,Basico,,Medio uso,Adulto
12747,45.330000000000005,6,6,Mariana,Lopez,77.0,CDMX,2024-01-23 04:18:11.072768192,Basico,,Medio uso,Adulto Mayor
12748,36.370000000000005,7,4,Luis,Torres,74.0,CDMX,2024-01-23 10:52:28.987246816,Premium,"1,73474E+18",Medio uso,Adulto Mayor
12749,39.27,10,7,Mariana,Garcia,20.0,Bogotá,2024-01-23 17:26:46.901725432,Basico,,Alto uso,Joven
12750,24.740000000000002,2,5,Carlos,Torres,71.0,CDMX,2024-01-24 00:01:04.816204056,Basico,,Medio uso,Adulto Mayor
12751,10.849999999999998,1,6,Ana,Gomez,72.0,MTY,2024-01-24 06:35:22.730682672,Basico,,Medio uso,Adulto Mayor
12752,24.52,6,6,Ana,Gomez,31.0,MTY,2024-01-24 13:09:40.645161296,Basico,,Medio uso,Adulto
12753,37.55,4,7,Ana,Lopez,75.0,Medellín,2024-01-24 19:43:58.559639912,Premium,,Medio uso,Adulto Mayor
12754,2.27,3,1,Luis,Ramirez,42.0,CDMX,2024-01-25 02:18:16.474118536,Basico,,Bajo uso,Adulto
12755,29.29,3,4,Luis,Lopez,32.0,Bogotá,2024-01-25 08:52:34.388597152,Premium,,Bajo uso,Adulto
12756,6.210000000000001,5,5,Sofia,Ramirez,19.0,Bogotá,2024-01-25 15:26:52.303075776,Basico,"1,73102E+18",Medio uso,Joven
12757,40.07000000000001,4,5,Ana,Torres,41.0,Medellín,2024-01-25 22:01:10.217554392,Basico,,Medio uso,Adulto
12758,23.53,3,2,Carlos,Gomez,31.0,Bogotá,2024-01-26 04:35:28.132033008,Premium,,Bajo uso,Adulto
12759,32.06,2,9,Mariana,Ramirez,65.0,MTY,2024-01-26 11:09:46.046511632,Basico,,Medio uso,Adulto Mayor
12760,19.050000000000004,5,7,Carlos,Torres,24.0,Medellín,2024-01-26 17:44:03.960990248,Basico,,Medio uso,Joven
12761,11.35,8,4,Mariana,Gomez,53.0,Cali,2024-01-27 00:18:21.875468872,Basico,,Medio uso,Adulto
12762,28.24,9,8,Ana,Ramirez,67.0,Medellín,2024-01-27 06:52:39.789947488,Basico,,Medio uso,Adulto Mayor
12763,2.0300000000000002,3,3,Ana,Lopez,41.0,,2024-01-27 13:26:57.704426112,Premium,,Bajo uso,Adulto
12764,23.979999999999997,5,5,Ana,Lopez,44.0,Medellín,2024-01-27 20:01:15.618904728,Basico,,Medio uso,Adulto
12765,5.340000000000001,1,3,Luis,Lopez,54.0,Cali,2024-01-28 02:35:33.533383352,Basico,,Bajo uso,Adulto
12766,9.120000000000001,5,4,Mariana,Torres,55.0,CDMX,2024-01-28 09:09:51.447861968,Premium,,Medio uso,Adulto
12767,44.59,6,11,Luis,Lopez,47.0,Bogotá,2024-01-28 15:44:09.362340592,Basico,"1,72895E+18",Alto uso,Adulto
12768,4.73,2,3,Luis,Garcia,44.0,Bogotá,2024-01-28 22:18:27.276819208,Basico,"1,73025E+18",Bajo uso,Adulto
12769,0.0,5,0,Mateo,Gomez,56.0,GDL,2024-01-29 04:52:45.191297832,Basico,,Medio uso,Adulto
12770,17.52,6,3,Carlos,Torres,47.0,Bogotá,2024-01-29 11:27:03.105776448,Premium,,Medio uso,Adulto
12771,63.830000000000005,2,8,Carlos,Lopez,32.0,GDL,2024-01-29 18:01:21.020255064,Premium,,Medio uso,Adulto
12772,16.91,3,5,Sofia,Gomez,43.0,Medellín,2024-01-30 00:35:38.934733688,Premium,"1,72066E+18",Medio uso,Adulto
12773,18.02,7,4,Luis,Ramirez,18.0,Bogotá,2024-01-30 07:09:56.849212304,Basico,,Medio uso,Joven
12774,41.75,6,5,Mariana,Lopez,73.0,Bogotá,2024-01-30 13:44:14.763690928,Basico,,Medio uso,Adulto Mayor
12775,39.730000000000004,7,6,Mateo,Gomez,21.0,,2024-01-30 20:18:32.678169544,Basico,,Medio uso,Joven
12776,50.370000000000005,3,8,Mateo,Garcia,46.0,MTY,2024-01-31 02:52:50.592648168,Basico,,Medio uso,Adulto
12777,9.79,4,5,Carlos,Ramirez,74.0,MTY,2024-01-31 09:27:08.507126784,Premium,,Medio uso,Adulto Mayor
12778,28.709999999999997,4,6,Luis,Garcia,18.0,MTY,2024-01-31 16:01:26.421605408,Basico,,Medio uso,Joven
12779,24.02,4,6,Sofia,Gomez,60.0,,2024-01-31 22:35:44.336084024,Basico,,Medio uso,Adulto Mayor
12780,61.379999999999995,6,10,Luis,Garcia,67.0,Bogotá,2024-02-01 05:10:02.250562648,Premium,,Alto uso,Adulto Mayor
12781,44.74,9,7,Ana,Gomez,63.0,Medellín,2024-02-01 11:44:20.165041264,Premium,,Medio uso,Adulto Mayor
12782,10.690000000000001,5,4,Luis,Gomez,39.0,GDL,2024-02-01 18:18:38.079519880,Basico,,Medio uso,Adulto
12783,6.8100000000000005,4,2,Ana,Garcia,28.0,Bogotá,2024-02-02 00:52:55.993998504,Basico,"1,73223E+18",Bajo uso,Joven
12784,16.34,4,5,Ana,Gomez,27.0,GDL,2024-02-02 07:27:13.908477120,Basico,,Medio uso,Joven
12785,16.240000000000002,5,3,Sofia,Lopez,76.0,Medellín,2024-02-02 14:01:31.822955744,Basico,,Medio uso,Adulto Mayor
12786,137.04999999999998,7,4,Mariana,Gomez,79.0,Cali,2024-02-02 20:35:49.737434360,Basico,,Medio uso,Adulto Mayor
12787,4.17,4,1,Carlos,Torres,34.0,Medellín,2024-02-03 03:10:07.651912984,Basico,,Bajo uso,Adulto
12788,5.19,6,2,Luis,Gomez,53.0,Medellín,2024-02-03 09:44:25.566391600,Premium,,Medio uso,Adulto
12789,32.06,5,9,Ana,Torres,73.0,Bogotá,2024-02-03 16:18:43.480870224,Basico,"1,72074E+18",Medio uso,Adulto Mayor
12790,14.77,2,6,Luis,Gomez,64.0,Medellín,2024-02-03 22:53:01.395348840,Basico,"1,72161E+18",Medio uso,Adulto Mayor
12791,14.08,5,3,Mariana,Gomez,43.0,Bogotá,2024-02-04 05:27:19.309827464,Basico,,Medio uso,Adulto
12792,26.56,6,7,Carlos,Garcia,65.0,Medellín,2024-02-04 12:01:37.224306080,Basico,,Medio uso,Adulto Mayor
12793,33.17,2,7,Mariana,Lopez,38.0,GDL,2024-02-04 18:35:55.138784696,Basico,,Medio uso,Adulto
12794,7.01,12,3,Carlos,Lopez,30.0,CDMX,2024-02-05 01:10:13.053263320,Premium,,Alto uso,Adulto
12795,27.81,10,5,Mateo,Ramirez,26.0,Bogotá,2024-02-05 07:44:30.967741936,Premium,,Alto uso,Joven
12796,8.84,6,3,Carlos,Garcia,28.0,Bogotá,2024-02-05 14:18:48.882220560,Basico,,Medio uso,Joven
12797,21.919999999999998,6,3,Sofia,Garcia,28.0,GDL,2024-02-05 20:53:06.796699176,Premium,,Medio uso,Joven
12798,20.490000000000002,10,6,Mariana,Lopez,23.0,Medellín,2024-02-06 03:27:24.711177800,Basico,,Alto uso,Joven
12799,27.830000000000002,5,4,Ana,Garcia,18.0,CDMX,2024-02-06 10:01:42.625656416,Basico,,Medio uso,Joven
12800,9.27,2,3,Mateo,Lopez,71.0,GDL,2024-02-06 16:36:00.540135040,Basico,,Bajo uso,Adulto Mayor
12801,17.42,5,4,Sofia,Garcia,23.0,Medellín,2024-02-06 23:10:18.454613656,Premium,,Medio uso,Joven
12802,17.18,9,5,Luis,Gomez,30.0,Bogotá,2024-02-07 05:44:36.369092280,Basico,,Medio uso,Adulto
12803,19.63,2,4,Mariana,Lopez,39.0,Medellín,2024-02-07 12:18:54.283570896,Basico,,Bajo uso,Adulto
12804,15.14,5,3,Ana,Lopez,73.0,Bogotá,2024-02-07 18:53:12.198049520,Premium,,Medio uso,Adulto Mayor
12805,53.36000000000001,5,7,Carlos,Torres,48.0,,2024-02-08 01:27:30.112528136,Basico,,Medio uso,Adulto
12806,47.040000000000006,8,5,Ana,Garcia,39.0,Bogotá,2024-02-08 08:01:48.027006752,Basico,,Medio uso,Adulto
12807,0.25,1,1,Luis,Garcia,54.0,CDMX,2024-02-08 14:36:05.941485376,Basico,,Bajo uso,Adulto
12808,8.49,4,3,Mateo,Lopez,64.0,MTY,2024-02-08 21:10:23.855963992,Premium,,Bajo uso,Adulto Mayor
12809,10.530000000000001,6,2,Mateo,Gomez,44.0,CDMX,2024-02-09 03:44:41.770442616,Basico,,Medio uso,Adulto
12810,33.67,10,7,Mariana,Gomez,67.0,,2024-02-09 10:18:59.684921232,Basico,,Alto uso,Adulto Mayor
12811,46.39,2,8,Mateo,Gomez,69.0,CDMX,2024-02-09 16:53:17.599399856,Premium,,Medio uso,Adulto Mayor
12812,17.79,2,3,Mariana,Garcia,31.0,MTY,2024-02-09 23:27:35.513878472,Basico,,Bajo uso,Adulto
12813,5.57,5,2,Mariana,Torres,64.0,GDL,2024-02-10 06:01:53.428357096,Basico,"1,72532E+18",Medio uso,Adulto Mayor
12814,25.490000000000002,7,5,Mariana,Lopez,75.0,Cali,2024-02-10 12:36:11.342835712,Premium,,Medio uso,Adulto Mayor
12815,1.47,3,1,Carlos,Ramirez,22.0,MTY,2024-02-10 19:10:29.257314336,Premium,,Bajo uso,Joven
12816,40.28,7,7,Sofia,Torres,75.0,,2024-02-11 01:44:47.171792952,Premium,,Medio uso,Adulto Mayor
12817,26.28,4,5,Mariana,Ramirez,53.0,CDMX,2024-02-11 08:19:05.086271568,Basico,"1,71841E+18",Medio uso,Adulto
12818,13.580000000000002,8,3,Mariana,Torres,49.0,CDMX,2024-02-11 14:53:23.000750192,Basico,"1,73362E+18",Medio uso,Adulto
12819,37.93000000000001,5,7,Sofia,Gomez,51.0,GDL,2024-02-11 21:27:40.915228808,Premium,,Medio uso,Adulto
12820,18.53,6,6,Ana,Garcia,24.0,Cali,2024-02-12 04:01:58.829707432,Premium,,Medio uso,Joven
12821,56.7,4,6,Mariana,Ramirez,59.0,,2024-02-12 10:36:16.744186048,Basico,,Medio uso,Adulto
12822,4.33,5,2,Carlos,Torres,65.0,CDMX,2024-02-12 17:10:34.658664672,Basico,,Medio uso,Adulto Mayor
12823,44.449999999999996,6,7,Mateo,Garcia,27.0,CDMX,2024-02-12 23:44:52.573143288,Basico,"1,72956E+18",Medio uso,Joven
12824,50.32000000000001,6,6,Mateo,Ramirez,67.0,Medellín,2024-02-13 06:19:10.487621912,Basico,,Medio uso,Adulto Mayor
12825,40.25999999999999,8,4,Luis,Lopez,34.0,CDMX,2024-02-13 12:53:28.402100528,Premium,,Medio uso,Adulto
12826,12.129999999999999,7,4,Luis,Torres,47.0,CDMX,2024-02-13 19:27:46.316579152,Basico,,Medio uso,Adulto
12827,16.5,7,5,Mateo,Lopez,38.0,CDMX,2024-02-14 02:02:04.231057768,Basico,,Medio uso,Adulto
12828,13.940000000000001,6,2,Mateo,Gomez,77.0,CDMX,2024-02-14 08:36:22.145536384,Basico,,Medio uso,Adulto Mayor
12829,59.04,3,6,Carlos,Lopez,30.0,GDL,2024-02-14 15:10:40.060015008,Basico,,Medio uso,Adulto
12830,1.0899999999999999,5,2,Sofia,Lopez,18.0,CDMX,2024-02-14 21:44:57.974493624,Basico,,Medio uso,Joven
12831,34.470000000000006,6,7,Luis,Torres,18.0,MTY,2024-02-15 04:19:15.888972248,Premium,,Medio uso,Joven
12832,31.740000000000006,6,5,Sofia,Gomez,64.0,Cali,2024-02-15 10:53:33.803450864,Basico,,Medio uso,Adulto Mayor
12833,43.67,3,7,Carlos,Lopez,50.0,MTY,2024-02-15 17:27:51.717929488,Basico,,Medio uso,Adulto
12834,0.67,2,1,Mateo,Garcia,55.0,Medellín,2024-02-16 00:02:09.632408104,Basico,,Bajo uso,Adulto
12835,22.52,8,2,Mariana,Ramirez,42.0,CDMX,2024-02-16 06:36:27.546886728,Premium,"1,71867E+18",Medio uso,Adulto
12836,19.729999999999997,6,3,Sofia,Lopez,43.0,Medellín,2024-02-16 13:10:45.461365344,Premium,,Medio uso,Adulto
12837,5.66,10,2,Mateo,Gomez,30.0,MTY,2024-02-16 19:45:03.375843968,Basico,"1,73163E+18",Alto uso,Adulto
12838,31.299999999999997,6,3,Mateo,Lopez,76.0,Medellín,2024-02-17 02:19:21.290322584,Premium,"1,71763E+18",Medio uso,Adulto Mayor
12839,6.03,5,4,Ana,Ramirez,45.0,CDMX,2024-02-17 08:53:39.204801208,Basico,,Medio uso,Adulto
12840,16.509999999999998,5,5,Sofia,Gomez,50.0,,2024-02-17 15:27:57.119279824,Basico,,Medio uso,Adulto
12841,25.56,7,5,Mariana,Torres,54.0,GDL,2024-02-17 22:02:15.033758440,Premium,,Medio uso,Adulto
12842,16.71,2,6,Sofia,Gomez,47.0,MTY,2024-02-18 04:36:32.948237064,Basico,,Medio uso,Adulto
12843,37.150000000000006,3,8,Mateo,Torres,58.0,,2024-02-18 11:10:50.862715680,Basico,,Medio uso,Adulto
12844,4.3,4,3,Mariana,Gomez,47.0,Bogotá,2024-02-18 17:45:08.777194304,Premium,,Bajo uso,Adulto
12845,23.380000000000003,5,4,Carlos,Ramirez,74.0,MTY,2024-02-19 00:19:26.691672920,Premium,,Medio uso,Adulto Mayor
12846,39.27,3,7,Ana,Ramirez,66.0,,2024-02-19 06:53:44.606151544,Basico,,Medio uso,Adulto Mayor
12847,1.18,5,1,Mateo,Gomez,65.0,MTY,2024-02-19 13:28:02.520630160,Premium,,Medio uso,Adulto Mayor
12848,18.17,3,5,Luis,Lopez,25.0,CDMX,2024-02-19 20:02:20.435108784,Basico,,Medio uso,Joven
12849,28.05,6,7,Luis,Ramirez,66.0,,2024-02-20 02:36:38.349587400,Basico,,Medio uso,Adulto Mayor
12850,21.599999999999998,9,6,Ana,Torres,64.0,GDL,2024-02-20 09:10:56.264066024,Basico,,Medio uso,Adulto Mayor
12851,13.25,4,3,Carlos,Torres,73.0,,2024-02-20 15:45:14.178544640,Basico,,Bajo uso,Adulto Mayor
12852,40.550000000000004,8,8,Mateo,Garcia,18.0,CDMX,2024-02-20 22:19:32.093023256,Premium,,Medio uso,Joven
12853,20.550000000000004,6,4,Sofia,Torres,29.0,Medellín,2024-02-21 04:53:50.007501880,Basico,,Medio uso,Joven
12854,44.300000000000004,4,9,Ana,Garcia,22.0,Bogotá,2024-02-21 11:28:07.921980496,Basico,,Medio uso,Joven
12855,14.440000000000001,4,5,Carlos,Gomez,41.0,,2024-02-21 18:02:25.836459120,Basico,,Medio uso,Adulto
12856,9.89,3,5,Sofia,Gomez,23.0,Bogotá,2024-02-22 00:36:43.750937736,Basico,"1,73172E+18",Medio uso,Joven
12857,13.64,10,3,Luis,Gomez,42.0,CDMX,2024-02-22 07:11:01.665416360,Basico,,Alto uso,Adulto
12858,1.59,8,1,Luis,Lopez,18.0,Medellín,2024-02-22 13:45:19.579894976,Premium,,Medio uso,Joven
12859,8.59,8,2,Sofia,Lopez,42.0,CDMX,2024-02-22 20:19:37.494373600,Basico,,Medio uso,Adulto
12860,8.9,2,3,Ana,Garcia,18.0,Cali,2024-02-23 02:53:55.408852216,Basico,,Bajo uso,Joven
12861,39.39,3,6,Luis,Torres,49.0,,2024-02-23 09:28:13.323330840,Basico,,Medio uso,Adulto
12862,11.830000000000002,6,3,Mateo,Torres,59.0,Bogotá,2024-02-23 16:02:31.237809456,Premium,,Medio uso,Adulto
12863,8.0,5,4,Mariana,Gomez,59.0,Cali,2024-02-23 22:36:49.152288072,Basico,"1,72489E+18",Medio uso,Adulto
12864,27.750000000000004,4,6,Sofia,Ramirez,20.0,CDMX,2024-02-24 05:11:07.066766696,Basico,,Medio uso,Joven
12865,18.0,10,4,Sofia,Lopez,66.0,Bogotá,2024-02-24 11:45:24.981245312,Basico,,Alto uso,Adulto Mayor
12866,48.41,8,6,Luis,Lopez,36.0,MTY,2024-02-24 18:19:42.895723936,Basico,,Medio uso,Adulto
12867,35.73,7,4,Ana,Gomez,77.0,Medellín,2024-02-25 00:54:00.810202552,Basico,,Medio uso,Adulto Mayor
12868,40.53,5,6,Mateo,Lopez,60.0,CDMX,2024-02-25 07:28:18.724681176,Premium,,Medio uso,Adulto Mayor
12869,24.259999999999998,3,4,Ana,Gomez,46.0,Cali,2024-02-25 14:02:36.639159792,Premium,,Bajo uso,Adulto
12870,30.41,4,3,Carlos,Garcia,67.0,CDMX,2024-02-25 20:36:54.553638416,Basico,,Bajo uso,Adulto Mayor
12871,37.86,5,6,Carlos,Torres,19.0,Medellín,2024-02-26 03:11:12.468117032,Premium,,Medio uso,Joven
12872,43.58,6,9,Mariana,Ramirez,26.0,CDMX,2024-02-26 09:45:30.382595656,Premium,,Medio uso,Joven
12873,17.61,8,3,Luis,Torres,73.0,Cali,2024-02-26 16:19:48.297074272,Premium,,Medio uso,Adulto Mayor
12874,13.84,6,2,Luis,Torres,34.0,CDMX,2024-02-26 22:54:06.211552896,Premium,,Medio uso,Adulto
12875,14.379999999999999,4,4,Luis,Garcia,77.0,Bogotá,2024-02-27 05:28:24.126031512,Premium,,Bajo uso,Adulto Mayor
12876,18.880000000000003,5,7,Mariana,Lopez,63.0,GDL,2024-02-27 12:02:42.040510128,Basico,,Medio uso,Adulto Mayor
